Department_ID,Interval,ReceivedTime,AnsweredTime,EndedTime
A63452,10:30,1/2/22 10:31 AM,1/2/22 10:34 AM,1/2/22 10:37 AM
A63452,10:30,1/2/22 10:33 AM,1/2/22 10:37 AM,1/2/22 10:38 AM
A63452,10:30,1/2/22 10:36 AM,1/2/22 10:37 AM,1/2/22 10:39 AM
G70349,10:30,1/2/22 10:41 AM,1/2/22 10:45 AM,1/2/22 10:47 AM
G70349,10:30,1/2/22 10:42 AM,1/2/22 10:45 AM,1/2/22 10:47 AM
G70349,10:30,1/2/22 10:42 AM,1/2/22 10:44 AM,1/2/22 10:45 AM
H32409,10:45,1/2/22 10:45 AM,,
H32409,10:45,1/2/22 10:46 AM,1/2/22 10:50 AM,1/2/22 10:54 AM
H32409,10:45,1/2/22 10:49 AM,1/2/22 10:52 AM,1/2/22 10:54 AM
H32409,10:45,1/2/22 10:52 AM,1/2/22 10:53 AM,1/2/22 10:57 AM
A63452,11:00,1/2/22 11:01 AM,1/2/22 11:01 AM,1/2/22 11:04 AM
A63452,11:00,1/2/22 11:05 AM,1/2/22 11:08 AM,
A63452,11:00,1/2/22 11:08 AM,1/2/22 11:10 AM,1/2/22 11:12 AM
G70349,11:00,1/2/22 11:12 AM,1/2/22 11:16 AM,1/2/22 11:19 AM
G70349,11:15,1/2/22 11:15 AM,1/2/22 11:19 AM,1/2/22 11:21 AM
G70349,11:15,1/2/22 11:15 AM,1/2/22 11:19 AM,1/2/22 11:19 AM
H32409,11:15,1/2/22 11:19 AM,1/2/22 11:23 AM,1/2/22 11:26 AM
H32409,11:15,1/2/22 11:23 AM,1/2/22 11:26 AM,1/2/22 11:29 AM
H32409,11:15,1/2/22 11:26 AM,1/2/22 11:27 AM,
H32409,11:15,1/2/22 11:27 AM,1/2/22 11:28 AM,1/2/22 11:29 AM
A63452,11:15,1/2/22 11:29 AM,1/2/22 11:31 AM,1/2/22 11:33 AM
A63452,11:30,1/2/22 11:32 AM,1/2/22 11:33 AM,1/2/22 11:33 AM
A63452,11:30,1/2/22 11:33 AM,1/2/22 11:35 AM,1/2/22 11:39 AM
A63452,11:30,1/2/22 11:38 AM,,
G70349,11:30,1/2/22 11:41 AM,,
G70349,11:30,1/2/22 11:44 AM,1/2/22 11:46 AM,1/2/22 11:48 AM
G70349,11:45,1/2/22 11:49 AM,1/2/22 11:50 AM,1/2/22 11:54 AM
H32409,11:45,1/2/22 11:52 AM,1/2/22 11:56 AM,1/2/22 11:58 AM
H32409,11:45,1/2/22 11:52 AM,1/2/22 11:56 AM,1/2/22 11:59 AM
H32409,11:45,1/2/22 11:57 AM,1/2/22 12:00 PM,1/2/22 12:03 PM
